Subject_ID	subject_id	query_id	ensembl_gene_id	external_gene_name	prefix
NM_001099417	NM_001099417.1	XM_039646823.1	ENSDARG00000001463	tdh2	NM
NM_001002194	NM_001002194.1	XM_039646824.1	ENSDARG00000038500	cep41	NM
XM_009299422	XM_009299422.3	XM_039646825.1	ENSDARG00000091140	NA	XM
NM_178436	NM_178436.3	XM_039646826.1	ENSDARG00000019507	mcm5	NM
XM_021475896	XM_021475896.1	XM_039646827.1	NA	NA	XM
NM_001130648	NM_001130648.2	XM_039646828.1	ENSDARG00000100889	galnt18a	NM
XM_009297873	XM_009297873.3	XM_039646829.1	ENSDARG00000100889	galnt18a	XM
XM_005171551	XM_005171551.4	XM_039646830.1	ENSDARG00000022531	ntn1b	XM
XM_005171552	XM_005171552.4	XM_039646831.1	ENSDARG00000022531	ntn1b	XM
NM_001351651	NM_001351651.1	XM_039646834.1	ENSDARG00000104581	tom1	NM
NM_001351651	NM_001351651.1	XM_039646835.1	ENSDARG00000104581	tom1	NM
NM_001351651	NM_001351651.1	XM_039646836.1	ENSDARG00000104581	tom1	NM
NM_001172554	NM_001172554.1	XM_039646837.1	ENSDARG00000005643	gcat	NM
NM_001127478	NM_001127478.1	XM_039646838.1	ENSDARG00000067813	zgc:171844	NM
NM_001007124	NM_001007124.1	XM_039646840.1	ENSDARG00000070903	met	NM
XM_005162995	XM_005162995.4	XM_039646841.1	ENSDARG00000070903	met	XM
XM_021475914	XM_021475914.1	XM_039646842.1	NA	NA	XM
XM_021475914	XM_021475914.1	XM_039646843.1	NA	NA	XM
XM_021475914	XM_021475914.1	XM_039646844.1	NA	NA	XM
NM_200393	NM_200393.1	XM_039646845.1	ENSDARG00000103929	ildr1a	NM
NM_200393	NM_200393.1	XM_039646846.1	ENSDARG00000103929	ildr1a	NM
NM_199632	NM_199632.1	XM_039646847.1	ENSDARG00000102746	tmem39a	NM
NM_001110479	NM_001110479.1	XM_039646853.1	ENSDARG00000103476	trpm1b	NM
XM_009298118	XM_009298118.3	XM_039646854.1	ENSDARG00000010844	kras	XM
XM_009298118	XM_009298118.3	XM_039646855.1	ENSDARG00000010844	kras	XM
XM_001344415	XM_001344415.6	XM_039646856.1	ENSDARG00000086670	ICE2	XM
XM_001344415	XM_001344415.6	XM_039646857.1	ENSDARG00000086670	ICE2	XM
NM_181761	NM_181761.2	XM_039646858.1	ENSDARG00000003216	anxa2a	NM
XM_003197605	XM_003197605.5	XM_039646860.1	ENSDARG00000023678	NA	XM
NM_001144803	NM_001144803.1	XM_039646861.1	ENSDARG00000011299	blzf1	NM
NM_001144803	NM_001144803.1	XM_039646862.1	ENSDARG00000011299	blzf1	NM
NM_001144803	NM_001144803.1	XM_039646863.1	ENSDARG00000011299	blzf1	NM
NM_001002361	NM_001002361.2	XM_039646864.1	ENSDARG00000016343	mettl21e	NM
XM_005174362	XM_005174362.3	XM_039646865.1	ENSDARG00000078310	NA	XM
XM_002666820	XM_002666820.5	XM_039646866.1	ENSDARG00000078310	NA	XM
NM_001033717	NM_001033717.2	XM_039646867.1	ENSDARG00000051746	ada2a	NM
NM_001003446	NM_001003446.2	XM_039646868.1	ENSDARG00000010146	cpa2	NM
NM_001002217	NM_001002217.1	XM_039646869.1	ENSDARG00000043722	cpa4	NM
XM_005174363	XM_005174363.4	XM_039646870.1	ENSDARG00000070717	NA	XM
XM_005174363	XM_005174363.4	XM_039646871.1	ENSDARG00000070717	NA	XM
XM_017354179	XM_017354179.1	XM_039646872.1	ENSDARG00000014085	atp6v1e1a	XM
NM_131819	NM_131819.2	XM_039646873.1	ENSDARG00000034862	f7	NM
NM_194380	NM_194380.1	XM_039646878.1	ENSDARG00000070914	dusp6	NM
XM_021470665	XM_021470665.1	XM_039646879.1	ENSDARG00000070734	DYRK4	XM
XM_009297955	XM_009297955.3	XM_039646880.1	ENSDARG00000070734	DYRK4	XM
XM_009297955	XM_009297955.3	XM_039646882.1	ENSDARG00000070734	DYRK4	XM
XM_009297955	XM_009297955.3	XM_039646883.1	ENSDARG00000070734	DYRK4	XM
XM_021470665	XM_021470665.1	XM_039646884.1	ENSDARG00000070734	DYRK4	XM
XM_009297956	XM_009297956.3	XM_039646885.1	ENSDARG00000070734	DYRK4	XM
XM_005174365	XM_005174365.4	XM_039646886.1	ENSDARG00000070734	DYRK4	XM
NM_001077789	NM_001077789.1	XM_039646887.1	ENSDARG00000060987	C25H12orf4	NM
NM_001018123	NM_001018123.1	XM_039646888.1	ENSDARG00000070917	kitlga	NM
XM_005163011	XM_005163011.4	XM_039646889.1	ENSDARG00000070917	kitlga	XM
XM_005156227	XM_005156227.4	XM_039646890.1	ENSDARG00000055284	AFAP1	XM
XM_682244	XM_682244.8	XM_039646891.1	ENSDARG00000086450	TDG	XM
XM_682244	XM_682244.8	XM_039646892.1	ENSDARG00000086450	TDG	XM
XM_682244	XM_682244.8	XM_039646893.1	ENSDARG00000086450	TDG	XM
NM_001135573	NM_001135573.2	XM_039646894.1	ENSDARG00000045797	uqcc6	NM
XM_009298144	XM_009298144.3	XM_039646896.1	ENSDARG00000075725	CEP152	XM
XM_009298144	XM_009298144.3	XM_039646897.1	ENSDARG00000075725	CEP152	XM
XM_009298144	XM_009298144.3	XM_039646898.1	ENSDARG00000075725	CEP152	XM
XM_001336921	XM_001336921.6	XM_039646899.1	ENSDARG00000100731	slc27a2b	XM
XM_021475911	XM_021475911.1	XM_039646901.1	ENSDARG00000102097	NFKBIZ	XM
NM_001017766	NM_001017766.2	XM_039646902.1	ENSDARG00000099640	eed	NM
NM_173235	NM_173235.3	XM_039646903.1	ENSDARG00000099104	rpl24	NM
XM_021478185	XM_021478185.1	XM_039646904.1	ENSDARG00000104859	NA	XM
NM_001123047	NM_001123047.1	XM_039646905.1	ENSDARG00000023104	scaper	NM
XM_005163004	XM_005163004.4	XM_039646906.1	ENSDARG00000013472	nedd1	XM
XM_009297893	XM_009297893.3	XM_039646907.1	ENSDARG00000007302	sh3gl3b	XM
NM_200142	NM_200142.1	XM_039646908.1	ENSDARG00000045814	samm50	NM
XM_005163030	XM_005163030.4	XM_039646909.1	ENSDARG00000045811	NA	XM
XM_021470674	XM_021470674.1	XM_039646910.1	ENSDARG00000023886	NA	XM
NM_001089445	NM_001089445.1	XM_039646911.1	ENSDARG00000051748	ccnd2a	NM
NM_001089445	NM_001089445.1	XM_039646912.1	ENSDARG00000051748	ccnd2a	NM
NM_001089445	NM_001089445.1	XM_039646913.1	ENSDARG00000051748	ccnd2a	NM
NM_001039836	NM_001039836.1	XM_039646914.1	ENSDARG00000051749	tigara	NM
XM_021478185	XM_021478185.1	XM_039646915.1	ENSDARG00000104859	NA	XM
NM_001045280	NM_001045280.1	XM_039646916.1	ENSDARG00000051861	pkp3a	NM
NM_001045280	NM_001045280.1	XM_039646917.1	ENSDARG00000051861	pkp3a	NM
NM_001017577	NM_001017577.1	XM_039646918.1	ENSDARG00000104071	hikeshi	NM
NM_212906	NM_212906.1	XM_039646919.1	ENSDARG00000018593	parp16	NM
XM_002666909	XM_002666909.4	XM_039646920.1	ENSDARG00000097169	NA	XM
XM_009298160	XM_009298160.3	XM_039646921.1	ENSDARG00000013397	bnip2	XM
XM_005163018	XM_005163018.4	XM_039646922.1	ENSDARG00000062674	btbd10a	XM
XM_005163018	XM_005163018.4	XM_039646923.1	ENSDARG00000062674	btbd10a	XM
NM_001347897	NM_001347897.1	XM_039646924.1	ENSDARG00000062674	btbd10a	NM
NM_001114587	NM_001114587.1	XM_039646926.1	ENSDARG00000103058	zgc:172091	NM
NM_001089372	NM_001089372.1	XM_039646928.1	ENSDARG00000045773	PYURF	NM
NM_001089372	NM_001089372.1	XM_039646929.1	ENSDARG00000045773	PYURF	NM
NM_001168267	NM_001168267.1	XM_039646930.1	ENSDARG00000062727	cep290	NM
NM_001168267	NM_001168267.1	XM_039646931.1	ENSDARG00000062727	cep290	NM
NM_001168267	NM_001168267.1	XM_039646932.1	ENSDARG00000062727	cep290	NM
XM_005163020	XM_005163020.4	XM_039646933.1	ENSDARG00000062727	cep290	XM
NM_001168267	NM_001168267.1	XM_039646934.1	ENSDARG00000062727	cep290	NM
NM_001077142	NM_001077142.1	XM_039646935.1	ENSDARG00000103924	zgc:154055	NM
XM_001922451	XM_001922451.7	XM_039646936.1	ENSDARG00000062846	TMTC3	XM
XM_021470484	XM_021470484.1	XM_039646937.1	ENSDARG00000045785	rlig1	XM
XM_021470484	XM_021470484.1	XM_039646938.1	ENSDARG00000045785	rlig1	XM
NM_001007052	NM_001007052.2	XM_039646939.1	ENSDARG00000077830	borcs5	NM
NM_001111185	NM_001111185.1	XM_039646940.1	ENSDARG00000057844	zgc:171470	NM
NM_205547	NM_205547.1	XM_039646941.1	ENSDARG00000018743	scamp5a	NM
XM_005163016	XM_005163016.4	XM_039646942.1	ENSDARG00000045803	mfge8b	XM
NM_001080990	NM_001080990.1	XM_039646943.1	ENSDARG00000113171	mfge8b	NM
NM_001017763	NM_001017763.1	XM_039646944.1	ENSDARG00000111134	hexa	NM
XM_021470488	XM_021470488.1	XM_039646945.1	ENSDARG00000052113	hexa	XM
XM_009297996	XM_009297996.3	XM_039646946.1	ENSDARG00000014402	NA	XM
XM_009297996	XM_009297996.3	XM_039646947.1	ENSDARG00000014402	NA	XM
XM_009297996	XM_009297996.3	XM_039646948.1	ENSDARG00000014402	NA	XM
NM_001079951	NM_001079951.2	XM_039646949.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646950.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646951.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646952.1	ENSDARG00000004174	cnot1	NM
NM_001111185	NM_001111185.1	XM_039646953.1	ENSDARG00000057844	zgc:171470	NM
NM_001079951	NM_001079951.2	XM_039646954.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646955.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646956.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646957.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646958.1	ENSDARG00000004174	cnot1	NM
NM_001079951	NM_001079951.2	XM_039646959.1	ENSDARG00000004174	cnot1	NM
NM_001202419	NM_001202419.1	XM_039646960.1	ENSDARG00000018559	kdm7ab	NM
NM_205720	NM_205720.2	XM_039646961.1	ENSDARG00000051857	tes	NM
NM_205672	NM_205672.1	XM_039646962.1	ENSDARG00000013784	zgc:77158	NM
XM_009297894	XM_009297894.3	XM_039646963.1	ENSDARG00000013784	zgc:77158	XM
XM_009297894	XM_009297894.3	XM_039646964.1	ENSDARG00000013784	zgc:77158	XM
NM_001111185	NM_001111185.1	XM_039646966.1	ENSDARG00000057844	zgc:171470	NM
NM_001037123	NM_001037123.3	XM_039646967.1	ENSDARG00000058962	txnl4b	NM
NM_001037123	NM_001037123.3	XM_039646968.1	ENSDARG00000058962	txnl4b	NM
NM_201214	NM_201214.1	XM_039646969.1	ENSDARG00000012603	eif3ja	NM
NM_001327759	NM_001327759.1	XM_039646970.1	ENSDARG00000063385	cenpe	NM
XM_005168010	XM_005168010.4	XM_039646971.1	ENSDARG00000078751	TPP2	XM
XM_005168011	XM_005168011.4	XM_039646972.1	ENSDARG00000078751	TPP2	XM
XM_002660321	XM_002660321.6	XM_039646973.1	ENSDARG00000078751	TPP2	XM
XM_009305228	XM_009305228.3	XM_039646974.1	ENSDARG00000063371	RASA3	XM
XM_009305229	XM_009305229.3	XM_039646975.1	ENSDARG00000063371	RASA3	XM
XM_009305228	XM_009305228.3	XM_039646976.1	ENSDARG00000063371	RASA3	XM
XM_009305229	XM_009305229.3	XM_039646977.1	ENSDARG00000063371	RASA3	XM
XM_009305228	XM_009305228.3	XM_039646978.1	ENSDARG00000063371	RASA3	XM
XM_009305228	XM_009305228.3	XM_039646979.1	ENSDARG00000063371	RASA3	XM
NM_001111185	NM_001111185.1	XM_039646980.1	ENSDARG00000057844	zgc:171470	NM
XM_009305228	XM_009305228.3	XM_039646981.1	ENSDARG00000063371	RASA3	XM
XM_009305228	XM_009305228.3	XM_039646982.1	ENSDARG00000063371	RASA3	XM
XM_009305246	XM_009305246.3	XM_039646983.1	NA	NA	XM
NM_201027	NM_201027.1	XM_039646984.1	ENSDARG00000096578	cul4a	NM
